Ticket_ID,Parent_Ticket,Linked_Ticket,Timestamp,Region,Sub_Region,Device_Model,Platform,Vendor_Version,App_Version,Middleware_Version,Raw_Firmware_String,Raw_Log_Entry,Error_Code,Failure_Category,Boot_Time_ms,CPU_Temp_C,Log_Size_MB,Ticket_Status,Resolution_Days,Resolved_By
RDKEVD-8886,,RDKTV-31736,2026-01-01T10:24:41.000Z,UK,Edinburgh,Hisense-V2,Amlogic,2.15.0,4.49.0,8.5.2.0,"imagename: HSTP12MWR_FULLSTACK-TEST_DEV_default_20251105000000  OSS_VERSION=4.9.0  VENDOR_VERSION=2.15.0  APPLICATION_VERSION=4.49.0  MIDDLEWARE_VERSION=8.5.2.0  YOCTO_VERSION=kirkstone  SDK_VERSION=5.1  FW_CLASS=rdke  BUILD_TIME=""2025-11-05 00:00:00""","MPEFramework [8389]: [7120] INFO [PowerManagerImplementation.cpp:610] GetLastWakeupKeyCode: << Wakeup keycode: 412, error
MPEFramework [8389]: [7120] WARN [SystemServices.cpp:2473] getLastWakeupkeyCode WakeupkeyCode: 412
kernel: meson-remote ff308848.rc: ir_xmp_get_scancode code: [0xedd9ec]
kernel: meson-remote ff888840.rc: ir_do_keydown: non tagged remote key pressed!!!
kernel: evbug: Event. Dev: input0, Type: 1, Code: 412, Value: 1
controlMgr [8389]: CTRLM TELE: ctrlm_ir_key_monitor_thread: INFRARED_CONTROLLER code = <412> (Key_Mic), status = <DOWN>
com.sky.as.apps_com.bskyb.epgui [8389]: StandbyScene.log: ""Wake Reason RCU with trigger RCU key"" ""Key_Mic""
com.sky.as.apps_com.bskyb.epgui [8389]: SystemModel.log: ""The wake reason should always be defined, if it is not, please fix it""",WAKE_UNCONFIG_412,IR Wake — Unconfigured Key,41600,50,1.2,Closed,,Bootloader Team
RDKEVD-5267,,RDKTV-30183,2026-01-01T10:29:30.000Z,UK,Bristol,PIONEER_UHD,Amlogic,2.12.0,4.47.0,8.6.0.0,"imagename: PITU11MWR_FULLSTACK-TEST_DEV_default_20251121000000  OSS_VERSION=4.9.0  VENDOR_VERSION=2.12.0  APPLICATION_VERSION=4.47.0  MIDDLEWARE_VERSION=8.6.0.0  YOCTO_VERSION=kirkstone  SDK_VERSION=5.1  FW_CLASS=rdke  BUILD_TIME=""2025-11-21 00:00:00""","kernel: watchdog: BUG: soft lockup - CPU#0 stuck for 23s! [wpeframework:3736]
kernel: Kernel panic - not syncing: softlockup: hung tasks",RBT_KP_OOM,Kernel Panic — OOM,34069,80,1.74,Resolved,14,Platform Team
RDKEVD-8475,,,2026-01-01T10:36:08.000Z,UK,Edinburgh,Apache-2K,Amlogic,2.09.0,4.44.0,8.5.0.0,"imagename: XUSHTC11MWR_FULLSTACK-TEST_DEV_default_20250930000000  OSS_VERSION=4.9.0  VENDOR_VERSION=2.09.0  APPLICATION_VERSION=4.44.0  MIDDLEWARE_VERSION=8.5.0.0  YOCTO_VERSION=kirkstone  SDK_VERSION=5.1  FW_CLASS=rdke  BUILD_TIME=""2025-09-30 00:00:00""","controlMgr [7796]: CTRLM TELE: ctrlm_ir_key_monitor_thread: INFRARED_CONTROLLER code = <106> (Key_Right), status = <DOWN>
MPEFramework [7796]: [7382] WARN [SystemServices.cpp:2473] getLastWakeupkeyCode WakeupkeyCode: 106
com.sky.as.apps_com.bskyb.epgui [7796]: MainView.log: keyEvent keycode: Key_Right ""0x01000014 (Key_Right)""
com.sky.as.apps_com.bskyb.epgui [7796]: StandbyScene.log: ""Standby handlePowerkeys: 01000014 key Down : 1""",IRKEY_106,IR Key — Wrong Mapping,43979,56,0.11,Merged to Develop,,Device Engineering
RDKEVD-6674,,,2026-01-01T13:00:45.000Z,UK,Manchester,Apache2K,Amlogic,2.11.0,4.44.0,8.5.2.0,"imagename: XUSHTC11MWR_FULLSTACK-TEST_DEV_default_20251005000000  OSS_VERSION=4.9.0  VENDOR_VERSION=2.11.0  APPLICATION_VERSION=4.44.0  MIDDLEWARE_VERSION=8.5.2.0  YOCTO_VERSION=kirkstone  SDK_VERSION=5.1  FW_CLASS=rdke  BUILD_TIME=""2025-10-05 00:00:00""","WPEFramework [5524]: Plugin Prime failed to initialise: error=0x04
WPEFramework [5524]: SIGABRT received in wpeframework pid=5524
kernel: meson-remote ff888040.rc: ir_do_keydown: non tagged remote key pressed!!!",WPEF_SIGABRT,WPEFramework Crash,39759,80,0.66,Testing,,BSP Team
RDKEVD-9523,,,2026-01-01T13:14:50.000Z,UK,Birmingham,Sharp-A60,Amlogic,2.14.0,4.49.0,8.5.2.0,"imagename: SHUHTS11MEI_FULLSTACK-TEST_DEV_default_20251003000000  OSS_VERSION=4.9.0  VENDOR_VERSION=2.14.0  APPLICATION_VERSION=4.49.0  MIDDLEWARE_VERSION=8.5.2.0  YOCTO_VERSION=kirkstone  SDK_VERSION=5.1  FW_CLASS=rdke  BUILD_TIME=""2025-10-03 00:00:00""","kernel: meson-remote ff888840.rc: ir_xmp_get_scancode code: [0x3ecf91b]
kernel: evbug: Event. Dev: input0, Type: 1, Code: 106, Value: 1
controlMgr [8080]: CTRLM TELE: ctrlm_ir_key_monitor_thread: INFRARED_CONTROLLER code = <106> (Key_Right), status = <DOWN>
com.sky.as.apps_com.bskyb.epgui [8080]: MainView.log: keyEvent keycode: Key_Right ""0x01000014 (Key_Right)""",IRKEY_106,IR Key — Wrong Mapping,29415,64,0.15,Resolved,3,Device Engineering
RDKEVD-7977,RDKTV-31343,,20260101143648,UK,Edinburgh,PioneerUHD,Amlogic,2.13.0,4.47.0,8.6.0.0,"imagename: PITU11MWR_FULLSTACK-TEST_DEV_default_20250915000000  OSS_VERSION=4.9.0  VENDOR_VERSION=2.13.0  APPLICATION_VERSION=4.47.0  MIDDLEWARE_VERSION=8.6.0.0  YOCTO_VERSION=kirkstone  SDK_VERSION=5.1  FW_CLASS=rdke  BUILD_TIME=""2025-09-15 00:00:00""","WPEFramework [8302]: Plugin Netflix failed to initialise: error=0x04
WPEFramework [8302]: SIGABRT received in wpeframework pid=8302
kernel: meson-remote ff888040.rc: ir_do_keydown: non tagged remote key pressed!!!",WPEF_INIT_FAIL,WPEFramework Crash,34553,75,0.82,Testing,,Device Engineering
RDKEVD-8244,RDKTV-31472,,2026-01-01T15:21:15.000Z,UK,Manchester,Apache-2K,Amlogic,2.09.0,4.46.1,8.5.0.0,"imagename: XUSHTC11MWR_FULLSTACK-TEST_DEV_default_20250908000000  OSS_VERSION=4.9.0  VENDOR_VERSION=2.09.0  APPLICATION_VERSION=4.46.1  MIDDLEWARE_VERSION=8.5.0.0  YOCTO_VERSION=kirkstone  SDK_VERSION=5.1  FW_CLASS=rdke  BUILD_TIME=""2025-09-08 00:00:00""",MPEFramework [8408]: Transient error cleared on retry — no further action required,NR_NOEV,No Repro / Other,26576,-1,0.95,Closed,3,Device Engineering
RDKEVD-6862,,,2026-01-01T15:57:21.000Z,UK,Edinburgh,Pioneer-UHD,Amlogic,2.13.0,4.46.1,8.6.0.0,"imagename: PITU11MWR_FULLSTACK-TEST_DEV_default_20251116000000  OSS_VERSION=4.9.0  VENDOR_VERSION=2.13.0  APPLICATION_VERSION=4.46.1  MIDDLEWARE_VERSION=8.6.0.0  YOCTO_VERSION=kirkstone  SDK_VERSION=5.1  FW_CLASS=rdke  BUILD_TIME=""2025-11-16 00:00:00""","controlMgr [6493]: CTRLM TELE: ctrlm_ir_key_monitor_thread: INFRARED_CONTROLLER code = <114> (Key_VolDown), status = <DOWN>
MPEFramework [6493]: [8870] WARN [SystemServices.cpp:2473] getLastWakeupkeyCode WakeupkeyCode: 114
com.sky.as.apps_com.bskyb.epgui [6493]: MainView.log: keyEvent keycode: Key_VolDown ""0x01000070 (Key_VolDown)""
com.sky.as.apps_com.bskyb.epgui [6493]: StandbyScene.log: ""Standby handlePowerkeys: 01000070 key Down : 1""",IRKEY_114,IR Key — Wrong Mapping,39722,51,0.4,Resolved,,Device Engineering
RDKEVD-7592,,,2026-01-01T16:00:02.000Z,UK,Manchester,Hisense-A6GP,Amlogic,2.12.0,4.46.1,8.6.0.0,"imagename: HSTP11MWR_FULLSTACK-TEST_DEV_default_20251009000000  OSS_VERSION=4.9.0  VENDOR_VERSION=2.12.0  APPLICATION_VERSION=4.46.1  MIDDLEWARE_VERSION=8.6.0.0  YOCTO_VERSION=kirkstone  SDK_VERSION=5.1  FW_CLASS=rdke  BUILD_TIME=""2025-10-09 00:00:00""","kernel: EXT4-fs error: No space left on /opt device — write failed
logrotate: /opt partition usage: 98% — log rotation failed for wpa_supplicant.log
logrotate: /opt/logs/wpa_supplicant.log size exceeds threshold — rotation skipped",LOGPART_FULL,Log Partition Full,25212,64,1.98,Testing,,Device Engineering
RDKEVD-8835,RDKTV-31702,,2026-01-01T16:07:56.000Z,UK,London,Sharp-A60,Amlogic,2.13.0,4.47.0,8.5.2.0,"imagename: SHUHTS11MEI_FULLSTACK-TEST_DEV_default_20250908000000  OSS_VERSION=4.9.0  VENDOR_VERSION=2.13.0  APPLICATION_VERSION=4.47.0  MIDDLEWARE_VERSION=8.5.2.0  YOCTO_VERSION=kirkstone  SDK_VERSION=5.1  FW_CLASS=rdke  BUILD_TIME=""2025-09-08 00:00:00""","WPEFramework [7504]: Plugin Netflix failed to initialise: error=0x04
WPEFramework [7504]: SIGABRT received in wpeframework pid=7504
kernel: meson-remote ff888040.rc: ir_do_keydown: non tagged remote key pressed!!!",,WPEFramework Crash,34961,80,1.09,Code Review,,Platform Team
RDKEVD-6057,,,2026-01-01T16:19:43.000Z,UK,Birmingham,Pioneer-V22K,Amlogic,2.12.0,4.47.0,8.4.1.0,"imagename: XUSHTB11MWR_FULLSTACK-TEST_DEV_default_20251015000000  OSS_VERSION=4.9.0  VENDOR_VERSION=2.12.0  APPLICATION_VERSION=4.47.0  MIDDLEWARE_VERSION=8.4.1.0  YOCTO_VERSION=kirkstone  SDK_VERSION=5.1  FW_CLASS=rdke  BUILD_TIME=""2025-10-15 00:00:00""","WPEFramework [8350]: [8434] INFO [PowerManagerImplementation.cpp:602] GetLastWakeupKeyCode: >>
WPEFramework [8350]: [8434] INFO [DeepSleepImpl.h:182] GetLastWakeupKeyCode: wakeupkeyCode: 409, status: Success
kernel: meson-remote ff888040.rc: ir_xmp_get_scancode code: [0x11cd02b]
kernel: meson-remote ff888040.rc: ir_do_keydown: non tagged remote key pressed!!!
kernel: meson-remote ff888040.rc: ir_do_keydown: scan code [409]
controlMgr [8350]: CTRLM TELE: ctrlm_ir_key_monitor_thread: INFRARED_CONTROLLER code = <409> (Key_DisneyPlus), status = <DOWN>",WAKE_409,IR Wake — Spurious,39854,45,0.49,Resolved,3,Device Engineering
RDKEVD-6001,,,2026-01-01T18:17:21.000Z,UK,Bristol,Pioneer-UHD,Amlogic,2.12.0,4.47.0,8.5.2.0,"imagename: PITU11MWR_FULLSTACK-TEST_DEV_default_20251105000000  OSS_VERSION=4.9.0  VENDOR_VERSION=2.12.0  APPLICATION_VERSION=4.47.0  MIDDLEWARE_VERSION=8.5.2.0  YOCTO_VERSION=kirkstone  SDK_VERSION=5.1  FW_CLASS=rdke  BUILD_TIME=""2025-11-05 00:00:00""","WPEFramework [7929]: [7894] INFO [PowerManagerImplementation.cpp:602] GetLastWakeupKeyCode: >>
WPEFramework [7929]: [7894] INFO [DeepSleepImpl.h:182] GetLastWakeupKeyCode: wakeupkeyCode: 411, status: Success
kernel: meson-remote ff308040.rc: ir_xmp_get_scancode code: [0x1565d0b]
kernel: meson-remote ff308848.rc: ir_do_keydown: non tagged remote key pressed!!!
kernel: meson-remote ff308848.rc: ir_do_keydown: scan code [411]
controlMgr [7929]: CTRLM TELE: ctrlm_ir_key_monitor_thread: INFRARED_CONTROLLER code = <411> (Key_XumoTV), status = <DOWN>",WAKE_411,IR Wake — Spurious,39143,59,1.16,Closed,3,Device Engineering
RDKEVD-9188,,,2026-01-01T19:38:14.000Z,UK,Bristol,Sharp-A60,Amlogic,2.14.0,4.47.0,8.5.0.0,"imagename: SHUHTS11MEI_FULLSTACK-TEST_DEV_default_20251128000000  OSS_VERSION=4.9.0  VENDOR_VERSION=2.14.0  APPLICATION_VERSION=4.47.0  MIDDLEWARE_VERSION=8.5.0.0  YOCTO_VERSION=kirkstone  SDK_VERSION=5.1  FW_CLASS=rdke  BUILD_TIME=""2025-11-28 00:00:00""","WPEFramework [6309]: [8206] INFO [SystemServices.cpp:2476] getLastWakeupKeyCode: response={""wakeupkeyCode"":410,""success"":true}
kernel: meson-remote ff308848.rc: ir_xmp_get_scancode code: [0x1a23db6]
kernel: meson-remote ff308040.rc: ir_do_keydown: non tagged remote key pressed!!!
controlMgr [6309]: CTRLM TELE: ctrlm_ir_key_monitor_thread: INFRARED_CONTROLLER code = <410> (Key_YouTube), status = <DOWN>
controlMgr [6309]: ctrlm_main_thread: Enter power state <ON>",WAKE_410,IR Wake — Spurious,36468,57,0.84,Analysis,,Device Engineering
RDKEVD-8084,,,2026-01-01T23:14:06.000Z,UK, London,  Hisense-V2,Amlogic,2.15.0,4.48.1,8.6.0.0,"imagename: HSTP12MWR_FULLSTACK-TEST_DEV_default_20251016000000  OSS_VERSION=4.9.0  VENDOR_VERSION=2.15.0  APPLICATION_VERSION=4.48.1  MIDDLEWARE_VERSION=8.6.0.0  YOCTO_VERSION=kirkstone  SDK_VERSION=5.1  FW_CLASS=rdke  BUILD_TIME=""2025-10-16 00:00:00""","WPEFramework [6577]: SIGABRT received in wpeframework pid=6577 — core dumped to /opt/logs/core_wpeframework
WPEFramework [6577]: Plugin OCDM state=ERROR reason=CRASH exitcode=-11
WPEFramework [6577]: WPEFramework watchdog timeout after 30s — initiating restart",WPEF_PLUGIN_CRASH,WPEFramework Crash,25478,82,0.95,Code Review,,Platform Team
RDKEVD-7527,,RDKTV-31155,01/01/2026 23:19,UK,London,PIONEER_UHD,Amlogic,2.13.0,4.48.1,8.4.1.0,"imagename: PITU11MWR_FULLSTACK-TEST_DEV_default_20251123000000  OSS_VERSION=4.9.0  VENDOR_VERSION=2.13.0  APPLICATION_VERSION=4.48.1  MIDDLEWARE_VERSION=8.4.1.0  YOCTO_VERSION=kirkstone  SDK_VERSION=5.1  FW_CLASS=rdke  BUILD_TIME=""2025-11-23 00:00:00""","kernel: meson-remote ff888040.rc: ir_xmp_get_scancode code: [0x7ec090a]
kernel: evbug: Event. Dev: input0, Type: 1, Code: 114, Value: 1
controlMgr [6641]: CTRLM TELE: ctrlm_ir_key_monitor_thread: INFRARED_CONTROLLER code = <114> (Key_VolDown), status = <DOWN>
com.sky.as.apps_com.bskyb.epgui [6641]: MainView.log: keyEvent keycode: Key_VolDown ""0x01000070 (Key_VolDown)""",IRKEY_114,IR Key — Wrong Mapping,36811,42,0.24,Resolved,4,Platform Team
RDKEVD-9481,,,2026-01-02T02:13:30.000Z,UK,London,Apache-2K,Amlogic,2.10.0,4.46.1,8.4.1.0,"imagename: XUSHTC11MWR_FULLSTACK-TEST_DEV_default_20251105000000  OSS_VERSION=4.9.0  VENDOR_VERSION=2.10.0  APPLICATION_VERSION=4.46.1  MIDDLEWARE_VERSION=8.4.1.0  YOCTO_VERSION=kirkstone  SDK_VERSION=5.1  FW_CLASS=rdke  BUILD_TIME=""2025-11-05 00:00:00""","WPEFramework [8745]: [8686] INFO [SystemServices.cpp:2476] getLastWakeupKeyCode: response={""wakeupkeyCode"":102,""success"":true}
kernel: meson-remote ff308040.rc: ir_xmp_get_scancode code: [0x7514680]
kernel: meson-remote ff308848.rc: ir_do_keydown: non tagged remote key pressed!!!
controlMgr [8745]: CTRLM TELE: ctrlm_ir_key_monitor_thread: INFRARED_CONTROLLER code = <102> (Key_Home), status = <DOWN>
controlMgr [8745]: ctrlm_main_thread: Enter power state <ON>",WAKE_102,IR Wake — Spurious,24676,63,0.92,Analysis,,Device Engineering
RDKEVD-7665,,,2026-01-02T02:20:49.000Z,UK,Edinburgh,Apache-4K,Amlogic,2.12.0,4.49.0,8.6.0.0,"imagename: XUSPTC11MWR_FULLSTACK-TEST_DEV_default_20250929000000  OSS_VERSION=4.9.0  VENDOR_VERSION=2.12.0  APPLICATION_VERSION=4.49.0  MIDDLEWARE_VERSION=8.6.0.0  YOCTO_VERSION=kirkstone  SDK_VERSION=5.1  FW_CLASS=rdke  BUILD_TIME=""2025-09-29 00:00:00""","kernel: EXT4-fs error: No space left on /opt device
logrotate: Failed to rotate bluez.log: /opt partition full (100%)
kernel: Kernel panic - not syncing: Out of memory and no killable processes",LOGPART_FULL,Log Partition Full,43521,43,1.97,In Progress,,Device Engineering
RDKEVD-9987,RDKTV-32169,,2026-01-02T04:06:54.000Z,UK,London,Sharp-A60,Amlogic,2.13.0,4.49.0,8.5.0.0,"imagename: SHUHTS11MEI_FULLSTACK-TEST_DEV_default_20251219000000  OSS_VERSION=4.9.0  VENDOR_VERSION=2.13.0  APPLICATION_VERSION=4.49.0  MIDDLEWARE_VERSION=8.5.0.0  YOCTO_VERSION=kirkstone  SDK_VERSION=5.1  FW_CLASS=rdke  BUILD_TIME=""2025-12-19 00:00:00""","MPEFramework [8310]: SIGABRT received in wpeframework pid=8310 — core dumped to /opt/logs/core_wpeframework
MPEFramework [8310]: Plugin DisneyPlus state=ERROR reason=CRASH exitcode=-11
MPEFramework [8310]: WPEFramework watchdog timeout after 30s — initiating restart",WPEF_WATCHDOG,WPEFramework Crash,,87,0.93,In Progress,,Device Engineering
